,Address,location
37,590 FT WASHINGTON AVE NYC,"(40.854543449999994, -73.9366724432515)"
38,270 11th Ave NYC,"(40.75165211111111, -74.00487199999999)"
39,257 W 17th St NYC,"(40.7415747, -74.00036354007233)"
40,200 E 35th St NYC,"(40.7462048, -73.977447)"
41,135 W 52nd St NYC,"(40.76165295918367, -73.98048873469388)"
42,30 E 85th St NYC,"(40.7801679, -73.9595496)"
43,435 E 70th St NYC,"(40.766122, -73.9559065)"
44,48 W 73rd St NYC,"(40.7779198, -73.9781228)"
45,592 E 180th St NYC,"(40.8494651, -73.8918356)"
46,566 Schenectady Ave NYC,"(40.65976725, -73.93442724502079)"
47,167 McDonald Ave NYC,"(40.6505916, -73.98063285887096)"
48,W Clermont Ave NYC,"(40.689506, -73.970131)"
49,175-20 Hillside Ave NYC,"(40.7117339, -73.7868491)"
50,90-45 149th St NYC,"(40.7023006, -73.8055768)"
51,127-21 Liberty Ave NYC,"(40.6891307, -73.81726282334762)"
52,35-40 157th St NYC,"(40.7646462, -73.80830328062336)"
53,32-70 44th St NYC,"(40.7558715, -73.9173811)"
54,139 E 23rd St NYC,"(40.7395754, -73.98427945499779)"
55,403 E 91st St NYC,"(40.7799817, -73.94638448441586)"
56,350 W 75th St NYC,"(40.78205565306122, -73.98398269387755)"
57,332 Lenox Ave NYC,"(40.80866475, -73.94436224484683)"
58,1370 St Nicholas Ave NYC,"(40.8478184, -73.9346033)"
59,852 E 176th St NYC,"(40.84101925, -73.8882274647252)"
60,2141 Holland Ave NYC,"(40.8548081, -73.8658681)"
61,422 AVE U NYC,"(40.59729645, -73.96836600076298)"
62,75-20 60th Ln NYC,"(40.6979661, -73.89502019761905)"
63,108-24 Ascan Ave NYC,"(40.7180062, -73.8406026)"
64,40-16 12th St NYC,"(40.7554122, -73.9429175)"
65,177 Chrystie St NYC,"(40.7211142, -73.992499)"
66,215 Chrystie St NYC,"(40.723034, -73.9920355)"
67,160 W 12th St NYC,"(40.73667293331414, -73.99954909869501)"
68,95 Stanton St NYC,"(40.7213285, -73.9883827)"
69,N E 7th St NYC,"(40.7260961, -73.983637)"
70,522 W 19th St NYC,"(40.74538444897959, -74.0065458367347)"
71,227 E 58th St NYC,"(40.760531549999996, -73.96560449549958)"
72,229 E 58th St NYC,"(40.7604043, -73.9655424)"
73,7 E 49th St NYC,"(40.757844000000006, -73.97727057142856)"
74,123 E 79th St NYC,"(40.77540285, -73.9593881589665)"
75,1109 5th Ave NYC,"(43.3545384, -8.4082542)"
76,W Riverside Dr NYC,"(40.8665267, -73.93053)"
77,40 W 115th St NYC,"(40.80038905, -73.94903284963762)"
78,2189 Frederick Douglass B NYC,"(0, 0)"
79,3933 Broadway NYC,"(40.8390179, -73.9415841)"
80,W Commonwealth Ave NYC,"(40.8379368, -73.8691369)"
81,2751 Homecrest Ave NYC,"(40.584285, -73.95614)"
82,1039 Ocean Pky NYC,"(40.62327725, -73.9696836872426)"
83,547 Chestnut St NYC,"(40.67347385, -73.87278144999999)"
84,35 Underhill Ave NYC,"(40.74672685, -73.801961519485)"
85,N Noble St NYC,"(40.728238, -73.9598135)"
86,W 109th St NYC,"(40.8019473, -73.9632889)"
87,246-07 Jericho Tpke NYC,"(0, 0)"
88,S 38th Ave NYC,"(40.747914, -73.903366)"
89,30-63 Steinway St NYC,"(40.76224995, -73.9159925604036)"
90,94-03 Roosevelt Ave NYC,"(40.7490275, -73.87259502363605)"
91,187 Chrystie St NYC,"(40.72180915, -73.9922618971291)"
92,N E 58th St NYC,"(40.7600489, -73.9649336)"
93,987 Madison Ave NYC,"(40.7747583, -73.9630799)"
94,51 Columbus Ave NYC,"(40.76963947297297, -73.98458867567568)"
95,424 E 89th St NYC,"(40.7782835, -73.9469761)"
96,420 W 116th St NYC,"(40.8062456, -73.9601834)"
97,511 W 167th St NYC,"(40.8398282, -73.93810689070588)"
98,3048 Buhre Ave NYC,"(40.8473914, -73.8308745)"
99,S E 192nd St NYC,"(40.8639748, -73.89461)"
100,3411 White Plains Rd NYC,"(40.87631887755102, -73.86677554081633)"
101,3071 Perry Ave NYC,"(40.8729449, -73.87926534638451)"
102,4315 18th Ave NYC,"(40.6309069, -73.9764121)"
103,W E 72nd St NYC,"(40.7710212, -73.9636252)"
104,1247 Flatbush Ave NYC,"(40.639987684210524, -73.95499147368422)"
105,1292 Fulton St NYC,"(40.6801668, -73.9489574)"
106,208 Hancock St NYC,"(40.68262215, -73.94760093499559)"
107,123-25 82nd Ave NYC,"(40.7126385, -73.8282205)"
108,S Horace Harding Expy NYC,"(40.7457913, -73.768776)"
109,3404 30 AVE NYC,"(40.7666967, -73.9215824)"
110,13 W 13th St NYC,"(40.735887, -73.9951789)"
111,315 W 47th St NYC,"(40.76090955, -73.9882443021028)"
112,1 W 58th St NYC,"(40.7687711, -73.9853107)"
113,3557 Broadway NYC,"(40.8269929, -73.9503642)"
114,71 Metropolitan Oval NYC,"(40.83830387096774, -73.86071880645162)"
115,15 E 196th St NYC,"(40.8690661, -73.89516578162787)"
116,1365 38th St NYC,"(40.6400788, -73.9836706)"
117,1323 79th St NYC,"(40.6177727, -74.00897916885214)"
118,408 77th St NYC,"(40.629135469387755, -74.02542189795919)"
119,80-64 Lefferts Blvd NYC,"(40.7092586, -73.8300155)"
120,142-12 Pershing Cres NYC,"(40.711712750000004, -73.81489364591653)"
121,135-41 138th St NYC,"(40.7088165, -73.8191238)"
122,110-33 Sutphin Blvd NYC,"(40.68934105, -73.79570833747204)"
123,29-01 29th St NYC,"(40.660649118644066, -74.00400042372883)"
124,S Cedar St NYC,"(0, 0)"
125,14 Orchard St NYC,"(40.7151141, -73.9916652)"
126,630 E 14th St NYC,"(40.728614199999996, -73.97679723033417)"
127,1177 6th Ave NYC,"(40.757312299999995, -73.98275822451703)"
128,1280 Lexington Ave NYC,"(40.779721, -73.9556314)"
129,722 W 168th St NYC,"(40.8424454, -73.9433492)"
130,2939 3rd Ave NYC,"(40.81808755, -73.91545706740777)"
131,N Halleck St NYC,"(40.8162021, -73.8821182)"
132,955 SHERIDAN AVE NYC,"(40.82869475, -73.92043679814773)"
133,74 Hugh J Grant Cir NYC,"(40.8327954, -73.8602482)"
134,3450 Baychester Ave NYC,"(40.8804893, -73.83788063910939)"
135,6320 15th Ave NYC,"(40.624099, -73.9965536)"
136,416 59th St NYC,"(40.6409625, -74.01743074999999)"
137,454 E 7th St NYC,"(40.66825765625, -73.98109040624999)"
138,456 Fulton St NYC,"(40.6903129, -73.9848945)"
139,E Adams St NYC,"(40.8411707, -73.8712491)"
140,118 N 8th St NYC,"(40.67231320779221, -73.99122648051949)"
141,141 Wooster St NYC,"(40.726023100000006, -73.99985869511379)"
142,41 Broad St NYC,"(40.7057707, -74.01109815408321)"
143,132A Eldridge St NYC,"(40.71882863636364, -73.99150409090909)"
144,345 W 30th St NYC,"(40.7506065, -73.99699198756684)"
145,224 W 47th St NYC,"(40.65034057142857, -74.01463959183674)"
146,150 W 55th St NYC,"(40.76367425, -73.98021924406135)"
147,227 W 46th St NYC,"(40.7594617, -73.98656513933439)"
148,1438 3rd Ave NYC,"(40.736906, -73.9845498)"
149,1658 3rd Ave NYC,"(40.7831723, -73.951041)"
150,20 E 78th St NYC,"(40.77571345, -73.96328100771102)"
151,252 W 72nd St NYC,"(40.7792276, -73.98386647200726)"
152,S W 69th St NYC,"(40.7789023, -73.9883332)"
153,489 Amsterdam Ave NYC,"(40.785965899999994, -73.97591678556526)"
154,665 W 160th St NYC,"(40.837224250000006, -73.94622501468709)"
155,S E 179th St NYC,"(40.851808, -73.906821)"
156,140 De Kruif Pl NYC,"(40.87554405, -73.82976277627424)"
157,1977 Morris Ave NYC,"(40.851322749999994, -73.90755525)"
158,3432 Jerome Ave NYC,"(40.881247849999994, -73.88244455043794)"
159,2402 E 17th St NYC,"(40.5922434, -73.9534692)"
160,339 E 23rd St NYC,"(40.65844363265306, -73.99143714285714)"
161,99 Clinton St NYC,"(40.718417099999996, -73.98569324312811)"
162,32 Court St NYC,"(40.6928971, -73.9909866)"
163,351 Stagg St NYC,"(40.71044514285714, -73.934876)"
164,188 Beach 117th St NYC,"(40.5792309, -73.83766262431857)"
165,68-39 Central Ave NYC,"(40.70093275, -73.9303525)"
166,143-10 Laburnum Ave NYC,"(40.750909500000006, -73.81460511568378)"
167,40-14 83rd St NYC,"(40.747245649999996, -73.88313741726105)"
168,28-12 Ditmars Blvd NYC,"(40.77687915, -73.91222899844115)"
169,E 14th St NYC,"(40.7294404, -73.9780305)"
170,22-04 31st St NYC,"(40.77616835, -73.91116045641961)"
171,302 AUDUBON AVE NYC,"(40.848239444444445, -73.93282566666667)"
172,6412 14 AVENUE NYC,"(0, 0)"
173,E Beaver St NYC,"(40.705447, -74.008007)"
174,25 Clinton St NYC,"(40.7205419, -73.9844418)"
175,12 W 37th St NYC,"(40.7505751, -73.9842264)"
176,400 St Nicholas Ave NYC,"(40.8133513, -73.9499483)"
177,510 W 218th St NYC,"(40.8712688, -73.914705)"
178,W Fteley Ave NYC,"(40.835524, -73.872993)"
179,820 E 226th St NYC,"(40.887185, -73.85646970937536)"
180,7107 20th Ave NYC,"(40.6128097, -73.9893279848273)"
181,1851 Nostrand Ave NYC,"(40.6406171, -73.9483216)"
182,4708 Snyder Ave NYC,"(40.6497244, -73.93271720104238)"
183,540 Montgomery St NYC,"(40.66496585, -73.94691170707031)"
184,E Spencer St NYC,"(40.6947836, -73.9552161)"
185,75 Montague St NYC,"(40.6954796, -73.9962669)"
186,774 Broadway NYC,"(40.6999923, -73.940902)"
187,924 MADISON AVE NYC,"(40.77284815, -73.96494227084871)"
188,244 Madison Ave NYC,"(40.7501514, -73.9813886)"
189,679 9th Ave NYC,"(40.7615248, -73.9906111)"
190,S E 80th St NYC,"(40.771024, -73.9474704)"
191,1508 Olmstead Ave NYC,"(40.8364121, -73.8550653)"
192,569 E 5th St NYC,"(40.6382468, -73.9743877)"
193,W Troy Ave NYC,"(40.66292, -73.937397)"
194,85 4TH PL NYC,"(40.67823905, -73.998580070353)"
195,9 Beaver St NYC,"(40.705097, -74.01290933333333)"
196,297 Humboldt St NYC,"(40.71213555, -73.94245269999999)"
197,2 St John Rd NYC,"(40.7070225, -73.9079574)"
198,E 60th Ln NYC,"(40.699712, -73.895003)"
199,60-63 68th Ave NYC,"(40.7049275, -73.8977080889469)"
200,164-12 69th Ave NYC,"(40.7329532, -73.8044929)"
201,21-41 45th Rd NYC,"(40.74659045, -73.9461154541814)"
202,N 73rd Ave NYC,"(40.724681, -73.8206623)"
203,33-07 Broadway NYC,"(40.76122935, -73.92334908428562)"
204,640 EASTERN PKWY NYC,"(40.66996432352941, -73.94703720588235)"
206,140 8th Ave NYC,"(40.6719388, -73.97477033186331)"
207,3 E 54th St NYC,"(40.760898749999996, -73.97451235134274)"
208,418 E 71st St NYC,"(40.7666011, -73.9555341)"
209,504 Columbus Ave NYC,"(40.7710908, -73.9833982)"
210,253 W 125th St NYC,"(40.810089500000004, -73.94999078047188)"
211,281 E 153rd St NYC,"(40.8203944, -73.9208176)"
212,4044 Park Ave NYC,"(40.843640050000005, -73.9009569445118)"
213,3059 Olinville Ave NYC,"(40.87075435135135, -73.86835454054054)"
214,587 W 235th St NYC,"(40.8859931, -73.9112611)"
215,200 Brighton 15th St NYC,"(40.5764898, -73.955018)"
216,586 74th St NYC,"(40.6291728, -74.0201068)"
217,116 E 19th St NYC,"(40.73706465, -73.9870423333723)"
218,139-27 88th Ave NYC,"(40.704187250000004, -73.81300725070608)"
219,42-01 162nd St NYC,"(40.76008295, -73.8038268510399)"
220,N 38th Ave NYC,"(40.747914, -73.903366)"
221,40-12 Bell Blvd NYC,"(40.7674163, -73.7729824)"
222,38-02 Broadway NYC,"(40.759193, -73.9197723)"
223,23-11 30th Dr NYC,"(40.76760265, -73.92733204207222)"
224,296 GRAND CONCOURSE NYC,"(40.81392515, -73.929067153614)"
225,N W 33rd St NYC,"(40.750063, -73.9905183)"
226,304 8th Ave NYC,"(40.7466583, -73.99705549020302)"
227,202 W 24th St NYC,"(40.7448241, -73.99594419792456)"
228,544 W 49th St NYC,"(40.7647839, -73.994452919686)"
229,12 E 49th St NYC,"(40.7573677, -73.9768687)"
230,127 E 73rd St NYC,"(40.7714208, -73.9619910612659)"
231,170 Amsterdam Ave NYC,"(40.7760023, -73.98390895242191)"
232,933 E 156th St NYC,"(40.816770149999996, -73.90033975109132)"
233,3073 Buhre Ave NYC,"(40.8480188, -73.83036044934278)"
234,E Irwin Ave NYC,"(40.8803707, -73.9109427)"
235,1644 E 22nd St NYC,"(40.611582999999996, -73.95196755)"
236,152 85th St NYC,"(40.625007800000006, -74.03457233237424)"
237,1032 E 95th St NYC,"(40.64482255, -73.90518243316288)"
238,205 Berkeley Pl NYC,"(40.67482085, -73.97382945000001)"
239,8374 Talbot St NYC,"(40.709812, -73.828963)"
240,W 24th St NYC,"(40.7502561, -74.0082754)"
241,24-30 Skillman Ave NYC,"(40.742202, -73.9452280420188)"
242,E 134th St NYC,"(40.805368, -73.921895)"
243,942 Columbus Ave NYC,"(40.79955675, -73.96297124076247)"
244,178 GRAND ST NYC,"(40.714260949999996, -73.96109654484064)"
245,285 Madison Ave NYC,"(40.751636, -73.9799764)"
246,N E 73rd St NYC,"(40.7666877, -73.951159)"
247,64 Pilling St NYC,"(40.68390775, -73.90735710771605)"
248,49 W 85th St NYC,"(40.7854662, -73.97134804197532)"
249,70-23 Austin St NYC,"(40.719349, -73.842624)"
250,E Thompson St NYC,"(40.7302398, -73.9981121)"
251,21-37 23rd St NYC,"(40.780699049999996, -73.9143812372916)"
252,70 Vanderbilt Ave NYC,"(40.7547774, -73.9768144)"
253,2698 Jerome Ave NYC,"(40.86872809375, -73.89630590624999)"
254,2446 Creston Ave NYC,"(40.861509, -73.8986776)"
255,2198 FLATBUSH AVE NYC,"(40.616351, -73.9302261)"
256,812 Lexington Ave NYC,"(40.764444, -73.9667389)"
257,30-53 34th St NYC,"(40.7643534, -73.91990721972707)"
258,190 Marcy Ave NYC,"(40.7078897, -73.9585534)"
259,210 E 23rd St NYC,"(40.738304, -73.98259393082535)"
260,278 Broadway NYC,"(40.7085769, -73.9587655)"
261,38-70 10th St NYC,"(40.7571231, -73.9442443)"
262,E 72nd Dr NYC,"(40.7084571, -73.8466568)"
263,917 Willoughby Ave NYC,"(40.69675705, -73.93244659999999)"
264,273 3rd Ave NYC,"(40.6774992, -73.98577820197588)"
265,20-67 33rd St NYC,"(40.777479299999996, -73.90672015862069)"
266,232 W 24TH STREET NYC,"(40.745171150000004, -73.99667805068435)"
267,1515 BROADWAY NYC,"(40.758063, -73.9862053)"
268,11-11 36th Ave NYC,"(40.7610867, -73.9392669)"
269,53 Thompson St NYC,"(40.6260664, -74.07579285)"
270,290 Vanderbilt Ave NYC,"(40.6886078, -73.96916969326435)"
271,465 W 23rd St NYC,"(40.747327999999996, -74.00308587755103)"
272,89-64 163rd St NYC,"(40.7052229, -73.79751359110818)"
273,55 1st Ave NYC,"(40.7249657, -73.9874477)"
274,8 E 16th St NYC,"(40.7370095, -73.9921417)"
275,E Woodhaven Blvd NYC,"(40.6938911, -73.8516544)"
276,40-12 Warren St NYC,"(40.74863715, -73.87036046345432)"
277,S E 21st St NYC,"(40.7356379, -73.9795703)"
278,396 E 155TH ST NYC,"(40.820069000000004, -73.91625520262848)"
279,288 Mulberry St NYC,"(40.7245422, -73.99499)"
280,125 Stanton St NYC,"(40.7207679, -73.98677615735495)"
281,351 W 18th St NYC,"(40.74336655, -74.00276366525813)"
282,5 E 31st St NYC,"(40.746299, -73.9851492)"
283,618 Amsterdam Ave NYC,"(40.7902198, -73.9733888)"
284,E Walton Ave NYC,"(40.8260359, -73.9247946)"
285,2430 Davidson Ave NYC,"(40.8624897, -73.9023219)"
286,2249 65th St NYC,"(40.613239449999995, -73.97994117560671)"
287,968 Coney Island Ave NYC,"(40.63375055, -73.9675469765165)"
288,63 Turner Pl NYC,"(40.6456272, -73.96964595667542)"
289,500 Logan St NYC,"(40.6738408, -73.87616100576224)"
290,187 Franklin Ave NYC,"(40.6932077, -73.95753308453178)"
291,240 Hooper St NYC,"(40.705657375, -73.9558308125)"
292,79-22 Metropolitan Ave NYC,"(40.713096750000005, -73.87282345185267)"
293,576 Menahan St NYC,"(40.6973827, -73.9178299)"
294,N Barclay Ave NYC,"(40.534902, -74.172309)"
295,E 55th Ave NYC,"(40.7280124, -73.9152517)"
296,97-25 Queens Blvd NYC,"(40.7296369, -73.860143)"
297,25-95 41st St NYC,"(40.7652467, -73.9126372)"
298,N E 13th St NYC,"(0, 0)"
299,458 W 51st St NYC,"(40.76488535, -73.99080645861292)"
300,W 5th Ave NYC,"(43.3545384, -8.4082542)"
301,1450 3rd Ave NYC,"(40.7764703, -73.9559474)"
302,35 E 85th St NYC,"(40.7801727, -73.9590434)"
303,N Riverside Dr NYC,"(40.8665267, -73.93053)"
304,N Rockwood St NYC,"(40.842033, -73.913494)"
305,S Pelham Pkwy S NYC,"(40.8554519, -73.8311203)"
306,W W 15th St NYC,"(40.7416809, -74.0049194)"
307,766 Snediker Ave NYC,"(40.65576955, -73.89774935)"
308,386 Atlantic Ave NYC,"(40.6870578, -73.9856329)"
309,280 W 231 STREET NYC,"(0, 0)"
310,85 South St NYC,"(40.70584135, -74.00443325242937)"
311,601 W 57th St NYC,"(40.7707337, -73.9918169)"
312,1538 3rd Ave NYC,"(40.7794376, -73.954081)"
313,225 E 64th St NYC,"(40.7644922244898, -73.96362620408163)"
315,317 E 188th St NYC,"(40.860718, -73.89493728571429)"
316,19 E 31st St NYC,"(40.7460743, -73.9845981)"
317,1020 CONEY ISLAND AVE NYC,"(40.6326282, -73.967139102054)"
318,859 E New York Ave NYC,"(40.66267020547945, -73.9342617260274)"
319,9 Plaza Street West NYC,"(40.67501505, -73.97151114908276)"
320,1125 Park Pl NYC,"(40.67308195, -73.94027425)"
321,105-12 Jamaica Ave NYC,"(40.69508635, -73.84150217244317)"
322,E 44th St NYC,"(40.7518211, -73.9729185)"
323,41-57 150th St NYC,"(40.7613101, -73.81302634114672)"
324,98-11 Queens Blvd NYC,"(40.7287925, -73.8575803)"
325,410 GRAND ST NYC,"(40.7159955, -73.9860913)"
326,70 Broad St NYC,"(40.7048102, -74.0116523)"
327,1122 3rd Ave NYC,"(40.76579705, -73.96381853851321)"
328,1287 1st Ave NYC,"(40.7661597, -73.957506)"
329,1495 3rd Ave NYC,"(40.777599550000005, -73.95448203737011)"
330,26 W 61st St NYC,"(40.7700744, -73.9831755)"
331,N W 133rd St NYC,"(40.820283, -73.959539)"
332,603 W 184th St NYC,"(40.85153135, -73.9328198878788)"
333,844 Gerard Ave NYC,"(40.8267019, -73.92517291478273)"
334,2557 Marion Ave NYC,"(40.8628231, -73.89258085169423)"
335,3548 White Plains Rd NYC,"(40.878283, -73.8655257)"
336,1404 Avenue U NYC,"(40.5986322, -73.9570921)"
337,139-30 Queens Blvd NYC,"(40.705426, -73.8165636)"
338,S 89th Ave NYC,"(40.7002854, -73.8196045)"
339,E 71st Ave NYC,"(40.7285845, -73.8204618)"
340,8902 63rd Ave NYC,"(40.7308774, -73.864615)"
341,434 Greenwich St NYC,"(40.7226366, -74.0098159)"
342,20 E 37th St NYC,"(40.7497114, -73.9818996)"
344,219 W 53rd St NYC,"(40.76362281632653, -73.98320757142857)"
345,46 E 46th St NYC,"(40.7555129, -73.9780207)"
346,N E 65th St NYC,"(40.7634231, -73.9593753)"
347,1881 Broadway NYC,"(40.7708976, -73.9824342)"
348,2394 Broadway NYC,"(40.7892265, -73.9754011)"
349,506 Lenox Ave NYC,"(40.814705950000004, -73.93928034602104)"
350,2049 Mc Graw Ave NYC,"(0, 0)"
351,1060 Morris Park Ave NYC,"(40.8487987, -73.85403829446292)"
352,E Williamsbridge Rd NYC,"(40.857315, -73.8562665)"
353,4002 12th St NYC,"(40.666233, -73.985445)"
354,9407 Kings Hwy NYC,"(40.6584123, -73.9209272)"
355,849 Pacific St NYC,"(40.68101085, -73.96725260000001)"
356,278 1st St NYC,"(40.6743482, -73.9834924809083)"
357,349 Stockholm St NYC,"(40.7040721, -73.9184353)"
358,68 Willoughby St NYC,"(40.6920714, -73.9859325)"
359,81-12 Lefferts Blvd NYC,"(40.676024, -73.8191737)"
360,21-24 31st St NYC,"(40.77778325, -73.90908054367593)"
361,99-22 34th Ave NYC,"(40.7552708, -73.86837663214126)"
362,97-07 37th Ave NYC,"(40.7520729, -73.86964250737705)"
363,119 CHESTER STREET NYC,"(40.6688919, -73.9112373536862)"
364,S Platt St NYC,"(40.707524, -74.0063843)"
365,517 E 71st St NYC,"(40.7659003, -73.95290073962617)"
366,N E 92nd St NYC,"(40.7805652, -73.9462502)"
367,W Amsterdam Ave NYC,"(40.7777438, -73.9822903)"
368,945 W 106th St NYC,"(40.8013455, -73.9678754)"
369,74 E 167th St NYC,"(40.8352345, -73.9202155)"
370,72 Westchester Sq NYC,"(40.8410373, -73.8430773)"
371,2352 Aqueduct Ave NYC,"(40.861145449999995, -73.9050337353107)"
372,1890 White Plains Rd NYC,"(40.847238387755105, -73.86673851020409)"
373,217 BRIGHTON BEACH AVE NYC,"(40.576762599999995, -73.96661256499195)"
374,2105 E 12th St NYC,"(40.5981951, -73.9599381)"
375,1214 E 18th St NYC,"(40.620880799999995, -73.95790024756288)"
376,302 Clinton Ave NYC,"(40.68908195, -73.96830886036363)"
377,S Havemeyer St NYC,"(40.7089709, -73.959212)"
378,143-02 Hoover Ave NYC,"(40.7140593, -73.81498176703039)"
379,S Orchard St NYC,"(0, 0)"
380,W Steinway St NYC,"(40.7575068, -73.9201758)"
381,23-04 33rd Ave NYC,"(40.7636392, -73.93080524999999)"
382,602 10th Ave NYC,"(40.760456649999995, -73.99446742184757)"
383,69 E 125th St NYC,"(40.805660849999995, -73.9397264566933)"
384,108 W 124th St NYC,"(40.80714055, -73.9466278907732)"
385,84 Nagle Ave NYC,"(40.860636400000004, -73.92811983713008)"
386,W Valentine Ave NYC,"(40.8483693, -73.9010121)"
387,2727 University Ave NYC,"(40.869377650000004, -73.90059530237986)"
388,1915 McDonald Ave NYC,"(40.60615165, -73.97205859375788)"
389,3151 Mill Ave NYC,"(40.6158806, -73.914376)"
390,4313 13th Ave NYC,"(40.6379114, -73.98875790528541)"
391,28 Varick Ave NYC,"(40.7076896, -73.9270423)"
392,12-15 Charles Pl NYC,"(40.697548250000004, -73.93147585416666)"
393,57 Montague St NYC,"(40.69577655, -73.99703433036836)"
394,8 Everett Ave NYC,"(40.59004675, -73.93009699999999)"
395,100 Willoughby St NYC,"(40.692024, -73.9850354)"
396,20-26 S 4th St NYC,"(40.71305776923077, -73.96683896153846)"
397,6046 55th St NYC,"(40.6315301, -73.9954466)"
398,152-72 Melbourne Ave NYC,"(40.7335517, -73.81530331468278)"
399,40-11 149th St NYC,"(40.76282365, -73.81594654732744)"
400,41-12 Elbertson St NYC,"(40.7464806, -73.87682800287551)"
401,97-19 Roosevelt Ave NYC,"(40.7494614, -73.8677682)"
402,N York St NYC,"(40.701397, -73.986751)"
403,N E Broadway NYC,"(40.713715, -73.990173)"
404,347 5th Ave NYC,"(43.3545384, -8.4082542)"
405,227 E 28th St NYC,"(40.74165565, -73.97954421460435)"
406,462 7th Ave NYC,"(40.7519075, -73.9902101)"
407,348 W 48th St NYC,"(40.761704449999996, -73.98916236820082)"
408,235 E 87th St NYC,"(40.77903835, -73.95187455)"
409,271 Central Park West NYC,"(40.7862013, -73.9688706)"
410,502 W 142nd St NYC,"(40.8234536, -73.9495859)"
411,S Westchester Ave NYC,"(40.8532292, -73.8261349)"
412,830 Olmstead Ave NYC,"(40.8237785, -73.8520591)"
413,70 Argyle Rd NYC,"(40.6478115, -73.967697)"
414,S Union St NYC,"(0, 0)"
415,6058 68th Rd NYC,"(40.7329622, -73.8237411)"
416,42-19 Bell Blvd NYC,"(40.7472752, -73.7612696)"
417,32-54 35th St NYC,"(40.75922610000001, -73.92346085921274)"
418,S Roosevelt Ave NYC,"(0, 0)"
419,N Mosely Ave NYC,"(40.5417756, -74.1690616)"
420,435 LONGFELLOW AVE NYC,"(40.809996, -73.88368000481115)"
421,787 ALLERTON AVE NYC,"(40.8656487, -73.8640616)"
422,561 WEST 180 ST NYC,"(0, 0)"
423,311 Greenwich St NYC,"(40.7166386, -74.0107065)"
424,89 Greene St NYC,"(40.72401, -74.00031453333334)"
425,89 E 3rd St NYC,"(40.724936400000004, -73.98791085930162)"
426,141 W 73rd St NYC,"(40.77893605, -73.97980377816265)"
427,1125 Amsterdam Ave NYC,"(40.8062598, -73.9612315)"
428,558 Southern Blvd NYC,"(40.81228244186047, -73.90331074418604)"
429,100 Einstein Loop NYC,"(40.8653361, -73.8220539)"
430,539 Linden Blvd NYC,"(40.653526400000004, -73.93888324758817)"
431,W 60th St NYC,"(40.7689456, -73.9822067)"
432,79-07 Main St NYC,"(40.7184967, -73.8172909)"
433,38-15 Bell Blvd NYC,"(40.766079, -73.7721205)"
434,23-05 30th Ave NYC,"(40.769369100000006, -73.92605791973642)"
435,120 BEACH 26TH STREET NYC,"(40.59290840816327, -73.75882569387755)"
436,421 Hudson St NYC,"(40.729856850000004, -74.00725974930049)"
437,160 Crosby St NYC,"(40.725529279999996, -73.9957026)"
